Variable,Units,IV w/ w1,IV w/ w1 |t|,IV w/ w2,IV w/ w2 |t|,IV w/ w3,IV w/ w3 |t|,Boot |t| (w3),Boot 95% CI (w3)
2-Year Treasury Yield,bp chg,-0.136,0.19,7.225,0.25,0.362,0.73,0.17,"[-1.55, 2.93]"
10-Year Treasury Yield,bp chg,-0.649,0.52,2.396,1.47,0.483,1.03,0.56,"[-0.09, 2.97]"
Break-even Inflation (10-year),bp chg,-0.052,0.12,4.03,0.16,0.238,1.32,0.63,"[-0.05, 1.02]"
S&P 500,pct chg,-0.014,0.1,-3.011,0.09,0.107,0.55,0.27,"[-0.26, 0.83]"
BBB Corporate Spread (OAS),bp chg,0.243,1.1,0.378,1.33,0.298,1.53,1.06,"[-0.23, 0.91]"
High-Yield Corporate Spread (OAS),bp chg,1.233,1.62,1.939,1.5,1.573,1.69,0.48,"[-1.26, 4.82]"
Gold Futures,$ chg,-12.591,0.95,-53.712,1.15,-24.177,1.24,0.32,"[-80.28, 63.99]"
U.S. Dollar Index,pct chg,0.094,1.09,0.106,2.07,0.103,1.99,2.0,"[0.02, 0.23]"
3-Month Treasury Bill,bp chg,0.419,0.86,-0.031,0.04,0.198,0.52,0.4,"[-1.03, 1.12]"
